Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16	sample-17	sample-18
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	Protein strawberry notch homolog 1	1:Experimental evidence at protein level	24.98	1.0000	0.9990	34	28	34	53	44	53	105651246	105651246	105651246	10K(304.2071), 11K(304.2071), 12K(304.2071), 12M(15.9949), 13K(304.2071), 14K(304.2071), 15K(304.2071), 19K(304.2071), 1K(304.2071), 20K(304.2071), 2M(15.9949), 3C(57.0214), 3M(15.9949), 5K(304.2071), 5M(15.9949), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			11951709.1211	11205120.3281	14648148.0176	13016484.7891	12946439.8105	12731320.8945	14244269.1777	14247887.5801	12352322.0352	14034986.9180	14738503.0898	17717491.3809	14571289.0215	16869906.8945	15770808.8086	10585982.9648	9888344.7891	9633207.7129
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	GTP-binding protein 10	1:Experimental evidence at protein level	10.34	1.0000	0.9990	3	3	3	7	7	7	37593907	37593907	37593907	12K(304.2071), 16M(15.9949), 18K(304.2071), 6K(304.2071), 6M(15.9949), N-term(304.2071)			464003.7305	421411.7832	574606.2832	503060.1328	503236.9023	473281.2793	538741.9219	535099.9434	449344.0156	475078.3301	496545.3711	584509.4570	454763.5312	493007.0020	476858.7773	282826.1367	244723.2715	278560.1992
sp|A4D1P6|WDR91_HUMAN	A4D1P6	WDR91_HUMAN	WDR91	747	Homo sapiens	WD repeat-containing protein 91	1:Experimental evidence at protein level	9.24	1.0000	0.9990	7	7	7	7	7	7	106791961	106791961	106791961	11K(304.2071), 11M(15.9949), 3C(57.0214), 7K(304.2071), N-term(304.2071)			777401.7969	706103.6719	931487.0781	843366.2969	857681.3672	839633.5078	982311.2344	980467.4531	810246.9297	942532.3750	1014264.7969	1162372.7344	938256.8125	1063322.9688	1007368.6562	961804.2188	868429.6797	919246.4062
sp|A5PLL7|TM189_HUMAN	A5PLL7	TM189_HUMAN	TMEM189	270	Homo sapiens	Transmembrane protein 189	1:Experimental evidence at protein level	13.33	1.0000	0.9990	3	3	3	3	3	3	16192929	16192929	16192929	10K(304.2071), 13K(304.2071), N-term(304.2071)			345739.0078	281021.2617	362135.7852	337905.3926	342138.4375	325129.3066	377584.8535	366983.3711	310573.2891	325843.2266	366039.2168	431187.4512	323905.6348	351784.1934	329317.0762	221277.3096	196946.2686	194835.8037
sp|A5PLN9|TPC13_HUMAN	A5PLN9	TPC13_HUMAN	TRAPPC13	417	Homo sapiens	Trafficking protein particle complex subunit 13	1:Experimental evidence at protein level	16.31	1.0000	0.9990	6	6	6	7	7	7	59892071	59892071	59892071	10K(304.2071), 14K(304.2071), 17C(57.0214), 18C(57.0214), 28K(304.2071), 5K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			2233760.0508	2200203.4531	2805125.7383	2527854.4297	2549977.0117	2585873.4805	2846890.7148	2682654.0098	2308966.4688	2805074.0000	2929006.4961	3610087.3594	2676852.6992	3140542.3945	2935014.4297	1788159.5605	1575241.4141	1630451.0234
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	CCR4-NOT transcription complex subunit 1	1:Experimental evidence at protein level	37.71	1.0000	0.9990	82	82	82	192	192	192	353792848	353792848	353792848	10C(57.0214), 10K(304.2071), 10M(15.9949), 11C(57.0214), 11K(304.2071), 11M(15.9949), 12K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 15M(15.9949), 16K(304.2071), 18M(15.9949), 1C(57.0214), 1K(304.2071), 25K(304.2071), 2C(57.0214), 2K(304.2071), 3K(304.2071), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 6C(57.0214), 6K(304.2071), 6M(15.9949), 7C(57.0214), 7K(304.2071), 7M(15.9949), 8C(57.0214), 8K(304.2071), 8M(15.9949), 9C(57.0214), 9K(304.2071), 9M(15.9949), N-term(304.2071)			41414117.0010	39364301.5225	51441068.4590	46078827.3115	45628183.7793	45471143.8223	49287781.2012	49586396.9512	42195883.7471	52460982.1914	55415878.1152	66863795.8594	46538321.2480	53602058.6504	48552212.8848	26870170.2920	23355940.5674	25001235.8545
sp|A6NCE7|MP3B2_HUMAN	A6NCE7	MP3B2_HUMAN	MAP1LC3B2	125	Homo sapiens	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2:Experimental evidence at transcript level	16.80	1.0000	0.9990	2	0	2	5	0	5	183144742	     0	183144742	14K(304.2071), 7K(304.2071), 9M(15.9949), N-term(304.2071)		sp|Q9GZQ8|MLP3B_HUMAN	1954029.9863	1868909.8145	2473392.5820	2049535.2344	2115087.2480	2066597.1094	2435563.3125	2376732.3281	2161646.5820	2050779.3320	2008398.3594	2523827.0898	2044254.8555	2320332.4922	2214097.4922	3054262.1230	2916198.6836	2993241.1133
sp|A6NDG6|PGP_HUMAN	A6NDG6	PGP_HUMAN	PGP	321	Homo sapiens	Glycerol-3-phosphate phosphatase	1:Experimental evidence at protein level	16.20	1.0000	0.9990	6	6	6	11	11	11	231973636	231973636	231973636	10K(304.2071), 3M(15.9949), 4M(15.9949), 7C(57.0214), 7K(304.2071), N-term(304.2071)			9171898.0781	8691219.1016	11458042.7969	10808147.5156	10385622.2188	10176633.4219	10787788.7812	10737894.0781	9280917.3906	10292740.5469	10479515.8359	13090528.3281	8826260.4688	9879659.1641	9224046.1875	4888885.6055	4290779.9883	5028382.9766
sp|A6NEY8|PRXD1_HUMAN	A6NEY8	PRXD1_HUMAN	PRORSD1P	169	Homo sapiens	Putative prolyl-tRNA synthetase associated domain-containing protein 1	5:Protein uncertain	20.12	1.0000	0.9990	3	3	3	4	4	4	59887146	59887146	59887146	10K(304.2071), 14K(304.2071), 7M(15.9949), N-term(304.2071)			422907.0156	391206.8359	536761.5625	516193.4766	506841.9062	491408.1641	505361.5156	526620.1953	444193.3047	493760.4219	490589.3594	568949.7656	468522.1250	541681.3750	497731.7188	537063.0195	463627.2695	506285.7383
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	Tubulin alpha chain-like 3	1:Experimental evidence at protein level	14.57	1.0000	0.9990	7	2	2	74	11	11	5843811872	23598685	5843811872	11M(15.9949), 15M(15.9949), 18K(304.2071), N-term(304.2071)			456154.5254	373608.2285	491012.7246	504178.3770	529341.0850	504975.6914	574989.5195	556677.2793	504715.4160	570062.5664	512523.3984	593067.1582	506475.2363	564644.1699	552130.2051	433927.6914	383236.0439	393711.3955
sp|A6NHQ4|EPOP_HUMAN	A6NHQ4	EPOP_HUMAN	EPOP	379	Homo sapiens	Elongin BC and Polycomb repressive complex 2-associated protein	1:Experimental evidence at protein level	5.01	1.0000	0.9990	2	2	2	3	3	3	30196382	30196382	30196382	5C(57.0214), 9K(304.2071), N-term(304.2071)			875455.8359	830090.1797	1159791.7109	1037840.0938	1013080.2188	1006732.2969	1081711.8203	1112573.4688	984005.1719	1156809.0547	1243195.4922	1494070.4922	1205151.1484	1360220.6562	1221648.0781	950579.2266	792379.1953	868706.8398
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1:Experimental evidence at protein level	13.27	1.0000	0.9990	30	30	30	47	47	47	125385932	125385932	125385932	10K(304.2071), 12K(304.2071), 14K(304.2071), 17C(57.0214), 19K(304.2071), 1K(304.2071), 2K(304.2071), 2M(15.9949), 4M(15.9949), 5M(15.9949), 6C(57.0214), 6M(15.9949), 7K(304.2071), 7M(15.9949), 9K(304.2071), N-term(304.2071)			8858717.5479	8231964.4404	11401950.3633	10408058.1641	10267877.6797	10050072.2812	10600210.6445	10337798.7988	9066460.9648	11297872.5391	11721831.3730	14571169.6309	10732926.1191	11899207.4277	11098451.5215	6694944.5732	6007671.3750	6493982.3740
sp|A6NI28|RHG42_HUMAN	A6NI28	RHG42_HUMAN	ARHGAP42	874	Homo sapiens	Rho GTPase-activating protein 42	1:Experimental evidence at protein level	10.64	1.0000	0.9990	10	9	10	12	11	12	24815282	21213656	24815282	10K(304.2071), 1C(57.0214), 2M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071)			1091020.7246	1057787.6973	1412761.1641	1275674.4219	1259724.2559	1261691.4688	1354816.9590	1347868.7852	1186106.4004	1428587.8164	1529583.5332	1839049.2031	1474272.7129	1667640.2734	1518647.7227	1234368.2324	1126921.2422	1144020.4121
sp|A6NIH7|U119B_HUMAN	A6NIH7	U119B_HUMAN	UNC119B	251	Homo sapiens	Protein unc-119 homolog B	1:Experimental evidence at protein level	21.91	1.0000	0.9990	5	4	5	7	6	7	45416562	45416562	45416562	10K(304.2071), 2M(15.9949), 3C(57.0214), N-term(304.2071)			561435.2188	518057.1367	656287.4766	610556.4375	621300.3203	593957.3086	646088.3516	643233.7969	560477.5664	695339.5078	767825.0078	899625.3281	705321.9453	797311.0078	747911.5547	563555.3281	511558.5078	507488.2344
sp|A6NIX2|WTIP_HUMAN	A6NIX2	WTIP_HUMAN	WTIP	430	Homo sapiens	Wilms tumor protein 1-interacting protein	1:Experimental evidence at protein level	6.28	1.0000	0.9990	3	2	2	4	3	3	18257473	2861844	18257473	8K(304.2071), N-term(304.2071)			279523.2578	254152.8203	323274.7266	310393.4844	316600.2812	305379.8203	349727.9141	344019.2422	297896.0469	295944.0859	309037.6484	377560.1875	276213.9922	322604.6016	298964.7031	281043.7578	255073.2148	270153.1992
sp|A6NKD9|CC85C_HUMAN	A6NKD9	CC85C_HUMAN	CCDC85C	419	Homo sapiens	Coiled-coil domain-containing protein 85C	1:Experimental evidence at protein level	13.37	1.0000	0.9990	6	6	6	6	6	6	36448418	36448418	36448418	13K(304.2071), 15K(304.2071), 6C(57.0214), N-term(304.2071)			749956.9922	697018.8750	943778.8086	837961.5391	874557.8242	834749.6133	865200.0742	888855.5508	763438.4609	900073.6758	980723.7031	1175359.8281	802984.5781	877764.1328	813044.1250	456047.1367	385130.8008	387729.2695
sp|A6QL63|BTBDB_HUMAN	A6QL63	BTBDB_HUMAN	BTBD11	1104	Homo sapiens	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	2:Experimental evidence at transcript level	4.62	1.0000	0.9990	4	3	4	5	4	5	5092603	3398337	5092603	11M(15.9949), 4M(15.9949), 9K(304.2071), N-term(304.2071)			75438.8477	76696.8066	101548.5957	93168.4453	95228.0371	90333.4512	103324.6855	97597.4844	88681.7090	101508.5234	141920.6113	128440.4707	92510.1484	110497.3828	97594.3965	67805.4570	59769.9053	58747.2891
sp|A7E2V4|ZSWM8_HUMAN	A7E2V4	ZSWM8_HUMAN	ZSWIM8	1837	Homo sapiens	Zinc finger SWIM domain-containing protein 8	1:Experimental evidence at protein level	4.52	1.0000	0.9990	7	7	7	8	8	8	13696218	13696218	13696218	12C(57.0214), 16K(304.2071), 7K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071)			331817.0625	313689.1611	403224.3711	347106.2520	359744.3672	345623.3945	400459.9141	393105.0527	340838.5508	371357.9570	409782.0078	494799.4824	389161.7188	427251.3359	396843.5957	251794.2148	233434.8252	242776.7344
sp|A7E2Y1|MYH7B_HUMAN	A7E2Y1	MYH7B_HUMAN	MYH7B	1983	Homo sapiens	Myosin-7B	1:Experimental evidence at protein level	7.26	1.0000	0.9990	15	10	10	18	12	12	211455034	9433276	211455034	11K(304.2071), 15K(304.2071), 16K(304.2071), 1K(304.2071), 2K(304.2071), 5M(15.9949), 8K(304.2071), 9K(304.2071), N-term(304.2071)			488617.4355	452724.3105	588572.1055	624854.4941	633019.4922	613947.1973	610039.9629	606503.1074	546773.1270	585078.4121	623796.6191	750226.2520	528558.5430	569971.6016	543953.0742	399514.9619	371904.0684	390088.8877
sp|A7KAX9|RHG32_HUMAN	A7KAX9	RHG32_HUMAN	ARHGAP32	2087	Homo sapiens	Rho GTPase-activating protein 32	1:Experimental evidence at protein level	5.94	1.0000	0.9990	12	11	12	18	17	18	21256251	20356974	21256251	10K(304.2071), 11K(304.2071), 12C(57.0214), 13K(304.2071), 14C(57.0214), 14K(304.2071), 15K(304.2071), 7K(304.2071), N-term(304.2071)			1564906.2363	1522429.6055	2015940.4961	1768838.2227	1770536.6836	1748809.6523	1971773.1758	1916904.9551	1689445.7051	2032059.4336	2087156.2832	2573200.1035	2011618.5371	2301590.6543	2139306.1680	887848.2598	864267.4736	824809.3262
sp|A8MT19|RHN2P_HUMAN	A8MT19	RHN2P_HUMAN	RHPN2P1	583	Homo sapiens	Putative rhophilin-2-like protein RHPN2P1	5:Protein uncertain	7.03	1.0000	0.9990	3	1	3	5	1	5	3684165	290172	3684165	11M(15.9949), 12M(15.9949), 14K(304.2071), 18K(304.2071), 9K(304.2071), N-term(304.2071)			375290.6484	366633.5547	480778.4844	444170.9609	440925.6172	433852.9453	445533.7344	447185.8281	384558.4609	385609.3281	413910.2188	505533.0312	361030.5078	396171.3438	380287.4844	323403.0000	279594.0234	318158.2578
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	Putative small nuclear ribonucleoprotein G-like protein 15	5:Protein uncertain	35.53	1.0000	0.9990	4	0	4	36	0	36	3076406752	     0	3076406752	6M(15.9949), 7K(304.2071), N-term(304.2071)		sp|P62308|RUXG_HUMAN	15278439.3711	14410420.8359	18822272.7695	16648981.5312	16452716.0000	16674697.5781	17457414.0430	17775444.2695	15181859.4336	19406865.4102	20766807.8828	25376135.0859	18135305.7969	20976245.1797	19439514.6172	11616466.9883	11129773.1719	11536891.8203
sp|A9UHW6|MI4GD_HUMAN	A9UHW6	MI4GD_HUMAN	MIF4GD	222	Homo sapiens	MIF4G domain-containing protein	1:Experimental evidence at protein level	21.62	1.0000	0.9990	5	5	5	7	7	7	40858072	40858072	40858072	13K(304.2071), 6C(57.0214), 7K(304.2071), N-term(304.2071)			788652.0762	742119.5205	914251.8516	920256.2969	921880.1367	895308.4766	944210.6934	997513.4141	826063.2432	1154772.2832	1195026.6680	1411443.6250	1005341.6758	1173012.1328	1124260.4062	585537.9756	518368.7471	532987.0059
sp|B1AK53|ESPN_HUMAN	B1AK53	ESPN_HUMAN	ESPN	854	Homo sapiens	Espin	1:Experimental evidence at protein level	4.45	1.0000	0.9990	4	3	3	4	3	3	96424287	8858840	96424287	2K(304.2071), 3K(304.2071), 9K(304.2071), N-term(304.2071)			271742.4062	249420.7109	322663.6172	301742.7656	294301.2500	281277.9844	312756.8438	318642.6797	261492.2422	276084.9219	338922.6953	361078.1719	310746.7969	313741.8984	286835.3672	252768.1719	212066.5781	239760.1562
sp|B2RTY4|MYO9A_HUMAN	B2RTY4	MYO9A_HUMAN	MYO9A	2548	Homo sapiens	Unconventional myosin-IXa	1:Experimental evidence at protein level	7.34	1.0000	0.9990	20	17	17	22	17	17	22747362	21682466	22747362	11K(304.2071), 14K(304.2071), 16K(304.2071), 1C(57.0214), 2M(15.9949), 3M(15.9949), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1314111.7246	1271501.8994	1651287.1445	1528144.1016	1514590.9629	1484104.4492	1584470.0586	1619517.8184	1404735.4219	1700022.5449	1858473.7891	2146392.9512	1652706.1152	1882862.7598	1750602.2227	1152610.2695	1023416.2852	1041891.1738
